lat,lon
48.1776,11.58525
48.1775900119396,11.5840766661292
48.1775800119389,11.5829033327157
48.17757,11.58173
48.17761,11.58049
48.1777033461696,11.5792733377921
48.1777966795007,11.578056671154
48.17789,11.57684
48.17799,11.57586
48.17805,11.57566
48.17809,11.57543
48.17811,11.57501
48.1781050028456,11.574199999984
48.1781,11.57339
48.17798,11.57237
48.17789,11.57189
48.1778,11.57149
48.17768,11.57107
48.17761,11.57092
48.17736,11.56998
48.17712,11.56915
48.1769450019746,11.56846999756
48.17677,11.56779
48.17661,11.56778
48.17654,11.56777
48.17638,11.56748
48.17623,11.56744
48.17612,11.56736
48.17605,11.56727
48.17598,11.56713
48.17578,11.56656
48.17573,11.56644
48.17564,11.56631
48.17545,11.56612
48.1747333340936,11.5658366587716
48.174016667491,11.5655533254637
48.1733,11.56527
48.1728600000905,11.5650849983882
48.17242,11.5649
48.171795000094,11.5646799972778
48.17117,11.56446
48.17087,11.56441
48.1706,11.5644
48.17039,11.56443
48.17023,11.56446
48.1696900000487,11.5646100015931
48.16915,11.56476
48.16885,11.56481
48.16848,11.56483
48.167974999961,11.5647949996523
48.16747,11.56476
48.16723,11.56477
48.1664399999754,11.5646899987625
48.16565,11.56461
48.1651049999589,11.5644999988123
48.16456,11.56439
48.1640250002175,11.564229998363
48.16349,11.56407
48.16271,11.56387
48.1618300001893,11.5636049954192
48.16095,11.56334
48.16091,11.56333
48.1609,11.56349
48.16076,11.56346
48.1602750002914,11.5633099986418
48.15979,11.56316
48.1596850034985,11.5640550016224
48.15958,11.56495
48.1594600027785,11.5657500018517
48.15934,11.56655
48.159130006197,11.5677450048692
48.15892,11.56894
48.15884,11.56936
48.158526678537,11.5705300143031
48.1582133452004,11.5717000143148
48.1579,11.57287
48.1577750024781,11.5736250018035
48.15765,11.57438
48.15763,11.57475
48.15764,11.57499
48.15756,11.575
48.15761,11.57563
48.15758,11.57583
48.15764000403,11.5767949987337
48.1577,11.57776
48.15773,11.57867
48.15771,11.57987
48.1576300077908,11.5812100020295
48.15755,11.58255
48.15759,11.58259
48.15763,11.58269
48.15752,11.58324
48.15726,11.58429
48.15719,11.58426
48.15715,11.58426
48.15713,11.58454
48.15691,11.58444
48.1569,11.58444
48.1576566677509,11.584796656137
48.1584133343985,11.5851533227945
48.15917,11.58551
48.15921,11.58543
48.1598066672752,11.5857066602053
48.1604033338865,11.5859833268462
48.161,11.58626
48.1618,11.58639
48.16244,11.58642
48.16326,11.58651
48.1637299997686,11.5865299998068
48.1642,11.58655
48.1646699999692,11.5865300001847
48.16514,11.58651
48.1658266667304,11.5864500016037
48.1665133334296,11.5863900016009
48.1672,11.58633
48.1672,11.586
48.16722,11.58585
48.16722,11.58584
48.16723,11.5859
48.1672,11.586
48.16729,11.58599
48.167200007725,11.5846549975986
48.16711,11.58332
48.1671,11.58284
48.16712,11.58209
48.16709,11.58121
48.1670950027753,11.5804100001111
48.1671,11.57961
48.16708,11.57919
48.16679,11.57813
48.16676,11.57795
48.16675,11.57764
48.1668950054723,11.5765150033073
48.16704,11.57539
48.16713,11.57408
48.16722,11.57406
48.16723,11.57377
48.1673300048861,11.5727100019246
48.16743,11.57165
48.16751,11.57146
48.16761,11.57042
48.1676900036417,11.5695050013021
48.16777,11.56859
48.1678250027511,11.5677950007056
48.16788,11.567
48.16783,11.56683
48.1678750028053,11.5660250007951
48.16792,11.56522
48.16805,11.5647
48.16798,11.56469
48.1681266754102,11.5636866723213
48.1682733420892,11.5626833389038
48.16842,11.56168
48.16851,11.56082
48.1685550020518,11.5601300008036
48.1686,11.55944
48.1686,11.55892
48.16834,11.55901
48.16821,11.55826
48.16837,11.55819
48.16823,11.55737
48.16837,11.55819
48.16821,11.55826
48.16834,11.55901
48.16854,11.55894
48.16852,11.55918
48.16867,11.5592
48.16867,11.55826
48.16861,11.55719
48.16854,11.55658
48.16845,11.55603
48.16838,11.55564
48.16826,11.55522
48.16796,11.55459
48.16791,11.55445
48.16782,11.55455
48.16778,11.55446
48.16742,11.55399
48.16709,11.55366
48.16667,11.55337
48.16646,11.55325
48.16623,11.55315
48.16585,11.55303
48.16548,11.55295
48.16506,11.55292
48.1642124999983,11.5528999990085
48.1633649999932,11.5528799986779
48.1625174999846,11.5528599990082
48.16167,11.55284
48.16151,11.55284
48.16146,11.55286
48.16145,11.55287
48.16145,11.5528
48.16143,11.55281
48.16134,11.55288
48.16134,11.55272
48.16134,11.55271
48.16134,11.55288
48.16143,11.55281
48.16145,11.5528
48.16146,11.55279
48.16164,11.55268
48.16159,11.55257
48.16163,11.55216
48.16164,11.55152
48.16158,11.5512
48.16145,11.55078
48.16133,11.55048
48.160826674131,11.5495533151787
48.1603233408137,11.5486266485419
48.15982,11.5477
48.15962,11.54728
48.15922,11.54662
48.1586871675618,11.5456456535775
48.1581543268893,11.5446713273941
48.157621477983,11.5436970214493
48.1570886208432,11.5427227357428
48.1565557554702,11.541748470274
48.1560228818644,11.5407742250423
48.15549,11.5398
48.15542,11.53975
48.1548750043715,11.5387449893088
48.15433,11.53774
48.1542,11.53743
48.15406,11.53741
48.15391,11.5374
48.15383,11.53721
48.15414,11.5373
48.15423,11.53731
48.15428,11.53744
48.1549666666749,11.537479998929
48.1556533333359,11.5375199989287
48.15634,11.53756
48.15663,11.53756
48.15697,11.53753
48.15736,11.53757
48.15797,11.53758
48.1586499999361,11.5376249993987
48.15933,11.53767
48.15953,11.5377
48.16003,11.53773
